XM,SXZY,HDHD,CSD
5171,926,1794,1126
5172,926,1843,1771
5173,927,857,324
5174,927,922,3147
5175,927,922,3419
5176,927,938,1693
5177,927,2221,3586
5178,927,2284,2902
5179,928,922,2573
5180,928,1777,85
5181,928,1843,388
5182,928,1998,2412
5183,928,2152,519
5184,929,1843,1762
5185,929,2046,1453
5186,930,1625,3284
5187,930,2043,340
5188,930,2583,3176
5189,931,977,3346
5190,931,2407,3668
5191,931,2583,3581
5192,932,792,239
5193,932,1255,3500
5194,932,1510,1068
5195,932,2134,36
5196,933,800,554
5197,933,1937,3143
5198,934,461,3555
5199,934,933,3232
5200,934,1779,2469
5201,935,1843,2073
5202,935,1901,739
5203,935,2099,784
5204,935,2357,702
5205,936,77,1448
5206,936,922,2735
5207,936,1188,2156
5208,936,1706,659
5209,936,1843,1133
5210,936,2051,2509
5211,936,2581,1878
5212,936,2584,2009
5213,937,359,477
5214,937,754,640
5215,937,1690,1094
5216,937,2037,1688
5217,938,70,1172
5218,938,405,874
5219,938,857,3627
5220,938,2205,1860
5221,938,2375,347
5222,939,417,1354
5223,939,1362,197
5224,939,1748,3056
5225,939,2375,2007
5226,940,452,165
5227,940,946,50
5228,940,1131,2230
5229,941,378,1011
5230,941,381,569
5231,941,645,3237
5232,941,1135,925
5233,941,1163,1237
5234,941,1310,2633
5235,941,1811,1210
5236,941,2087,2738
5237,941,2204,2125
5238,941,2380,2110
5239,942,689,77
5240,942,2472,2506
5241,942,2583,2158
5242,943,422,372
5243,943,512,3297
5244,943,991,2130
5245,943,1035,1678
5246,943,1458,3263
5247,943,1463,790
5248,943,1463,1196
5249,943,1935,2162
5250,943,1961,2094
5251,943,2269,1752
5252,944,1132,2432
5253,944,1718,534
5254,944,1718,2177
5255,944,1908,1755
5256,944,1935,3458
5257,945,642,2446
5258,945,1057,3081
5259,945,1096,2112
5260,945,2312,1689
5261,946,67,1234
5262,946,1486,1343
5263,946,1671,2660
5264,947,6,3428
5265,947,85,3639
5266,947,815,1234
5267,947,946,635
5268,947,1035,599
5269,947,1035,508
5270,947,1434,828
5271,947,1908,2607
5272,947,1961,29
5273,947,2313,2350
5274,948,347,602
5275,948,348,175
5276,948,484,3107
5277,948,770,1003
5278,948,1368,2619
5279,948,1576,2540
5280,948,1843,3458
5281,948,1908,2060
5282,948,2178,3600
5283,948,2189,2731
5284,948,2495,2035
5285,949,348,165
5286,949,562,1352
5287,949,692,2860
5288,949,775,943
5289,949,921,2465
5290,949,998,3255
5291,949,1071,1775
5292,949,1085,2645
5293,949,1273,2226
5294,949,1382,1278
5295,949,1484,2062
5296,949,1565,275
5297,949,1801,1910
5298,949,1801,1910
5299,949,1801,3334
5300,949,1801,3424
5301,949,1894,3559
5302,949,1983,1556
5303,949,2057,165
5304,949,2103,2286
5305,949,2183,2931
5306,949,2184,3565
5307,949,2313,3211
5308,950,452,901
5309,950,2178,2642
5310,951,569,1865
5311,951,692,967
5312,951,1843,172
5313,952,898,3596
5314,952,1659,2350
5315,952,2380,1107
5316,953,669,1660
5317,953,1843,1197
5318,953,2307,3014
5319,954,1576,2642
5320,955,483,2298
5321,955,1302,1317
5322,955,1702,3589
5323,955,2045,2622
5324,955,2179,3635
5325,956,722,2508
5326,956,1565,709
5327,957,730,3651
5328,957,929,1017
5329,957,1087,253
5330,957,1639,2023
5331,958,1681,789
5332,958,1899,983
5333,958,2345,2149
5334,959,1005,1399
5335,959,1106,1718
5336,959,1501,3599
5337,959,1519,2144
5338,959,1860,705
5339,959,1974,3334
5340,960,43,1077
5341,960,435,2753
5342,960,1151,2978
5343,961,157,2226
5344,961,244,1274
5345,961,452,1236
5346,961,752,1136
5347,961,770,1035
5348,961,1302,3479
5349,961,1463,1535
5350,961,1500,2965
5351,961,1670,1223
5352,961,1818,763
5353,961,1871,900
5354,962,357,162
5355,963,348,3378
5356,963,481,1157
5357,963,609,343
5358,963,717,2127
5359,963,1106,397
5360,963,1109,805
5361,963,1292,3473
5362,963,1294,210
5363,963,1303,321
5364,963,1398,3378
5365,963,1576,2897
5366,963,1731,1156
5367,963,1801,2609
5368,963,1851,304
5369,963,1861,2393
5370,963,2163,1384
5371,963,2221,2762
5372,963,2225,41
5373,963,2256,2204
5374,963,2303,978
5375,963,2326,752
5376,963,2339,1266
5377,963,2523,1672
5378,963,2543,3536
5379,964,137,570
5380,964,210,2175
5381,965,898,1097
5382,965,1342,2757
5383,966,1449,1319
5384,966,1741,718
5385,966,2025,1771
5386,966,2351,1461
5387,967,165,1923
5388,967,170,2162
5389,967,378,1300
5390,967,509,2026
5391,967,704,1771
5392,967,777,3124
5393,967,927,3656
5394,967,929,2776
5395,967,1001,2602
5396,967,1109,1938
5397,967,1109,1958
5398,967,1109,1987
5399,967,1109,1996
5400,967,1109,2329
5401,967,1109,3682
5402,967,1117,1958
5403,967,1304,3574
5404,967,1321,3333
5405,967,1365,2106
5406,967,1398,712
5407,967,1398,1096
5408,967,1398,1702
5409,967,1398,2176
5410,967,1484,3143
5411,967,1584,2235
5412,967,1666,1271
5413,967,1799,2264
5414,967,1836,2928
5415,967,2178,356
5416,967,2178,562
5417,967,2221,420
5418,967,2221,1969
5419,967,2221,3536
5420,967,2304,441
5421,967,2390,1565
5422,967,2390,1950
5423,967,2390,2659
5424,967,2390,947
5425,967,2435,39
5426,967,2496,1157
5427,967,2543,1991
5428,967,2543,2027
5429,967,2543,459
5430,967,2563,1556
5431,968,1576,2573
5432,969,121,1333
5433,969,731,841
5434,969,1238,1804
5435,969,1502,3387
5436,970,367,1348
5437,970,1614,12
5438,970,2080,3143
5439,971,1015,2929
5440,971,1495,343
5441,971,2588,1936
5442,972,499,2437
5443,972,1341,269
5444,972,1448,3407
5445,972,1484,3487
5446,972,2087,1620
5447,972,2467,3633
5448,973,29,787
5449,973,1350,2329
5450,974,787,1565
5451,974,1071,2241
5452,974,1925,2980
5453,974,2104,233
5454,974,2515,1034
5455,975,601,52
5456,975,885,3156
5457,975,1372,387
5458,975,1826,1665
5459,975,2414,2387
5460,976,753,3159
5461,976,1372,1318
5462,977,1677,1906
5463,977,2073,2440
5464,977,2135,170
5465,978,157,3234
5466,978,1059,2
5467,979,1463,2286
5468,979,1838,256
5469,980,579,1892
5470,980,1983,811
5471,980,2237,2286
5472,980,2359,2060
5473,980,2456,2290
5474,981,47,2434
5475,982,2435,3338
5476,982,2594,567
5477,983,585,3530
5478,983,595,2000
5479,983,791,3358
5480,983,1024,2730
5481,983,1258,3691
5482,983,1682,782
5483,983,1821,1226
5484,983,1882,242
5485,983,1894,643
5486,983,1991,1166
5487,983,2164,2533
5488,984,526,1318
5489,984,725,2566
5490,984,843,855
5491,984,1138,748
5492,984,1184,3265
5493,984,1311,2646
5494,984,1905,1075
5495,984,2069,1577
5496,984,2156,2014
5497,984,2473,451
5498,985,566,724
5499,985,623,367
5500,985,692,2890
5501,985,696,1058
5502,985,746,3251
5503,985,781,165
5504,985,781,687
5505,985,781,3156
5506,985,781,3383
5507,985,1087,1548
5508,985,1262,1076
5509,985,1463,2344
5510,985,1600,2549
5511,985,1615,1317
5512,985,1869,3378
5513,985,1882,1035
5514,985,1882,2766
5515,985,2014,1642
5516,985,2172,3382
5517,985,2402,624
5518,986,2381,2993
5519,986,2583,3703
5520,987,277,1849
5521,987,692,2027
5522,987,1412,1529
5523,987,1783,1602
5524,987,2102,2919
5525,987,2279,3391
5526,988,255,367
5527,988,464,1576
5528,988,1843,569
5529,988,1882,133
5530,989,996,39
5531,990,15,1605
5532,990,781,3525
5533,990,1435,2655
5534,990,1751,2783
5535,991,727,2612
5536,991,806,665
5537,991,1953,240
5538,992,590,1598
5539,992,1449,1021
5540,992,2044,445
5541,993,1792,2045
5542,994,1198,3272
5543,994,1250,3253
5544,994,1904,1843
5545,994,1904,1999
5546,994,2353,2216
5547,994,2398,1103
5548,995,223,2437
5549,995,272,1256
5550,995,313,329
5551,996,28,1282
5552,996,57,1527
5553,996,437,3233
5554,996,446,276
5555,996,763,637
5556,996,922,3573
5557,996,1250,727
5558,996,1672,2717
5559,996,2080,948
5560,996,2150,3037
5561,996,2363,2897
5562,996,2460,1726
5563,997,1511,863
5564,997,1513,1390
5565,997,1903,429
5566,997,2064,3607
5567,997,2262,1439
5568,998,70,1964
5569,998,368,3318
5570,998,1207,569
5571,999,32,2304
5572,999,1368,2162
5573,1000,294,347
5574,1000,317,2601
5575,1000,402,1295
5576,1000,547,2793
5577,1000,699,399
5578,1000,861,2669
5579,1000,1603,1609
5580,1000,1652,3351
5581,1000,2007,2888
5582,1000,2009,1683
5583,1000,2306,1349
5584,1001,553,1656
5585,1001,737,1014
5586,1001,799,1011
5587,1001,922,408
5588,1001,1917,2906
5589,1002,66,687
5590,1002,388,2318
5591,1002,692,1058
5592,1002,870,807
5593,1002,1379,3319
5594,1002,1575,166
5595,1002,1578,2855
5596,1002,2400,171
5597,1003,124,3588
5598,1003,1124,542
5599,1003,1398,953
5600,1003,2436,704
5601,1003,2532,2871
5602,1004,848,3147
5603,1004,2507,3729
5604,1005,770,666
5605,1005,781,1035
5606,1005,799,1039
5607,1005,1125,924
5608,1005,1182,524
5609,1005,1624,2868
5610,1005,1664,546
5611,1005,1780,959
5612,1005,1922,1563
5613,1005,2002,2594
5614,1005,2257,1229
5615,1005,2583,2884
5616,1006,238,3670
5617,1006,475,1829
5618,1006,631,2690
5619,1006,691,295
5620,1006,1025,2301
5621,1006,1380,3287
5622,1006,2234,375
5623,1006,2317,2692
5624,1006,2597,3006
5625,1007,577,751
5626,1007,968,2457
5627,1007,1317,2770
5628,1007,1951,1216
5629,1008,224,2540
5630,1008,258,3515
5631,1008,871,3641
5632,1008,933,122
5633,1008,1922,3656
5634,1009,52,1661
5635,1009,69,2082
5636,1009,313,857
5637,1009,357,3372
5638,1009,692,3480
5639,1009,850,1629
5640,1009,1014,1069
5641,1009,1014,1160
5642,1009,1066,2130
5643,1009,1304,359
5644,1009,1463,1362
5645,1009,1644,1715
5646,1009,1718,1425
5647,1009,1946,1902
5648,1009,1956,923
5649,1009,1961,2736
5650,1009,2069,1643
5651,1009,2083,2937
5652,1009,2095,1474
5653,1009,2178,3596
5654,1009,2400,3358
5655,1009,2402,2709
5656,1009,2490,1798
5657,1009,2583,558
5658,1010,2230,1938
5659,1010,2528,57
5660,1011,692,1652
5661,1011,2467,1676
5662,1012,411,1231
5663,1012,2359,3315
5664,1013,343,852
5665,1013,458,3424
5666,1013,1370,2845
5667,1013,1463,1556
5668,1013,1840,1640
5669,1013,1843,758
5670,1013,1961,58
5671,1013,1961,1365
5672,1013,2094,3143
5673,1013,2178,1993
5674,1013,2282,1620
5675,1013,2303,282
5676,1013,2401,801
5677,1013,2482,216
5678,1013,2583,3372
5679,1013,2583,3672
5680,1013,2583,3672
5681,1014,693,863
5682,1014,1837,3159
5683,1014,2120,3629
5684,1015,133,2352
5685,1015,509,764
5686,1015,1117,3014
5687,1015,1309,2479
5688,1015,1498,2027
5689,1015,1668,592
5690,1016,223,2499
5691,1016,243,2382
5692,1016,1083,2980
5693,1016,1934,1860
5694,1017,295,1553
5695,1017,1515,127
5696,1017,1701,2294
5697,1018,550,1612
5698,1018,1115,3047
5699,1018,2471,171
5700,1019,781,1112
5701,1019,1463,3143
5702,1019,1489,2886
5703,1020,888,347
5704,1020,1004,3565
5705,1020,1833,1638
5706,1020,2304,1929
5707,1021,856,751
5708,1021,1692,2199
5709,1021,1885,1081
5710,1022,2190,2136
5711,1023,215,3358
5712,1023,259,3293
5713,1023,334,2423
5714,1023,525,2187
5715,1023,616,3156
5716,1023,781,3159
5717,1023,1085,517
5718,1023,1109,2221
5719,1023,1210,2304
5720,1023,1315,943
5721,1023,1599,2894
5722,1023,1601,2693
5723,1023,1653,1556
5724,1023,1762,3156
5725,1023,1807,658
5726,1023,1959,3046
5727,1023,1959,1025
5728,1023,2206,693
5729,1023,2398,593
5730,1024,1882,3043
5731,1025,1109,1993
5732,1025,1313,380
5733,1025,1462,1663
5734,1026,412,2362
5735,1026,1936,3499
5736,1027,1148,3536
5737,1027,1606,2168
5738,1027,2589,1166
5739,1028,737,367
5740,1028,1150,1817
5741,1029,142,169
5742,1029,355,608
5743,1029,355,1233
5744,1029,385,3040
5745,1029,642,1918
5746,1029,747,2216
5747,1029,770,1115
5748,1029,782,3159
5749,1029,1005,1226
5750,1029,1085,1461
5751,1029,1208,1930
5752,1029,1326,1035
5753,1029,1344,2393
5754,1029,1382,2308
5755,1029,1398,162
5756,1029,1398,703
5757,1029,1419,2170
5758,1029,1565,312
5759,1029,1733,3147
5760,1029,1843,982
5761,1029,1843,1035
5762,1029,2033,935
5763,1029,2178,3565
5764,1029,2434,1917
5765,1029,2434,3358
5766,1029,2549,378
5767,1029,2583,3688
5768,1030,323,2885
5769,1031,941,1203
5770,1031,1035,2054
5771,1031,1239,1987
5772,1031,1373,1781
5773,1032,1142,3416
5774,1032,1154,1273
5775,1033,860,742
5776,1034,1027,2342
5777,1034,1091,3080
5778,1034,2221,214
5779,1034,2406,2021
5780,1035,473,1581
5781,1035,1021,3599
5782,1035,1063,2208
5783,1035,1071,1300
5784,1035,1071,2368
5785,1035,1801,3243
5786,1035,1843,1060
5787,1035,1843,1498
5788,1035,1843,1958
5789,1035,1843,3156
5790,1035,1843,3372
5791,1035,2313,2699
5792,1035,2453,3264
5793,1036,114,1314
5794,1036,2184,3589
5795,1037,355,1015
5796,1037,451,269
5797,1037,473,1060
5798,1037,689,1234
5799,1037,696,3467
5800,1037,737,3156
5801,1037,765,963
5802,1037,765,1107
5803,1037,770,1035
5804,1037,778,1035
5805,1037,806,1153
5806,1037,961,3398
5807,1037,1086,1273
5808,1037,1416,1035
5809,1037,1591,2051
5810,1037,1829,1090
5811,1037,1959,560
5812,1037,1961,1644
5813,1037,2195,2678
5814,1038,1961,1395
5815,1039,491,790
5816,1039,562,2120
5817,1039,1299,742
5818,1039,1620,2789
5819,1039,2443,1009
5820,1040,749,914
5821,1040,776,1058
5822,1040,776,1083
5823,1040,785,1115
5824,1040,785,2533
5825,1040,824,3525
5826,1040,1460,1185
5827,1040,1478,2152
5828,1040,1708,1123
5829,1040,2039,726
5830,1041,509,3699
5831,1041,1085,2914
5832,1042,351,1300
5833,1042,538,3045
5834,1042,1109,1923
5835,1042,1182,2668
5836,1042,1376,2238
5837,1042,1393,2299
5838,1042,2581,3691
5839,1042,2583,3691
5840,1043,692,546
5841,1043,1861,3159
5842,1043,2059,1644
5843,1043,2435,648
5844,1044,943,6
5845,1044,977,2844
5846,1044,1154,107
5847,1044,1474,3708
5848,1044,1668,451
5849,1045,619,1905
5850,1045,1595,2155
5851,1045,1933,482
5852,1045,1973,443
5853,1045,2442,2089
5854,1046,1361,3594
5855,1046,1703,1022
5856,1046,2185,2668
5857,1047,772,3018
5858,1047,927,3703
5859,1047,1843,1150
5860,1047,2255,3611
5861,1048,97,943
5862,1048,752,939
5863,1048,1155,931
5864,1049,582,2062
5865,1049,752,3159
5866,1049,1507,1414
5867,1050,529,1058
5868,1050,1644,2469
5869,1050,2201,1796
5870,1051,1916,1281
5871,1051,2398,2860
5872,1052,431,561
5873,1052,765,657
5874,1052,1333,487
5875,1052,2109,2926
5876,1053,78,3140
5877,1053,267,1996
5878,1053,1780,1310
5879,1054,320,1058
5880,1054,414,3044
5881,1054,642,3279
5882,1054,730,2711
5883,1054,2256,808
5884,1054,2435,2264
5885,1055,446,2394
5886,1055,838,562
5887,1055,958,552
5888,1055,1173,250
5889,1055,1858,1764
5890,1056,153,864
5891,1056,468,1253
5892,1056,1202,1747
5893,1056,1452,998
5894,1057,290,3496
5895,1057,352,171
5896,1057,765,1009
5897,1057,765,3378
5898,1057,781,657
5899,1057,781,700
5900,1057,781,939
5901,1057,799,1058
5902,1057,826,3358
5903,1057,859,3358
5904,1057,1135,2027
5905,1057,1194,3358
5906,1057,1410,2443
5907,1057,1454,2691
5908,1057,1488,213
5909,1057,1577,2027
5910,1057,1593,2779
5911,1057,1600,2619
5912,1057,1600,2865
5913,1057,1601,2051
5914,1057,1601,2868
5915,1057,1624,3143
5916,1057,1643,2645
5917,1057,1687,2619
5918,1057,1843,3378
5919,1057,1857,853
5920,1057,1882,2863
5921,1057,1882,3596
5922,1057,1885,230
5923,1057,1897,1058
5924,1057,2056,3354
5925,1057,2131,3133
5926,1057,2206,1507
5927,1057,2232,3662
5928,1057,2590,3262
5929,1058,195,1151
5930,1058,388,289
5931,1058,436,1412
5932,1058,517,2813
5933,1058,1897,3156
5934,1058,2337,1254
5935,1059,143,596
5936,1059,357,1402
5937,1059,517,1762
5938,1060,490,565
5939,1060,1824,1243
5940,1060,1959,3106
5941,1060,1973,2753
5942,1061,468,777
5943,1061,1492,226
5944,1061,1733,2877
5945,1061,2009,2798
5946,1062,1484,3565
5947,1062,1752,2510
5948,1062,1843,3448
5949,1062,2400,1718
5950,1063,95,3190
5951,1063,133,3391
5952,1063,194,1976
5953,1063,357,560
5954,1063,374,3617
5955,1063,538,2329
5956,1063,789,1025
5957,1063,791,1166
5958,1063,1014,3176
5959,1063,1066,734
5960,1063,1085,1857
5961,1063,1230,3331
5962,1063,1354,2235
5963,1063,1576,2642
5964,1063,1576,1526
5965,1063,1593,2588
5966,1063,1593,2718
5967,1063,1598,919
5968,1063,1634,3341
5969,1063,1726,891
5970,1063,1848,917
5971,1063,1897,3143
5972,1063,1929,2173
5973,1063,1971,3222
5974,1063,2169,2889
5975,1063,2178,2647
5976,1063,2178,3587
5977,1063,2184,3414
5978,1063,2221,3571
5979,1063,2380,2664
5980,1063,2400,1342
5981,1063,2400,3020
5982,1063,2547,3498
5983,1063,2547,3589
5984,1063,2557,1815
5985,1063,2595,3672
5986,1064,291,1305
5987,1064,1085,3424
5988,1064,2207,628
5989,1064,2403,581
5990,1065,789,2313
5991,1065,1462,3316
5992,1065,1601,306
5993,1065,1742,3042
5994,1066,692,2007
5995,1066,793,3360
5996,1066,1463,2298
5997,1066,1593,2052
5998,1066,1843,3358
5999,1067,15,1723
6000,1067,157,645
6001,1067,968,787
6002,1067,1167,2114
6003,1067,1182,952
6004,1067,2606,2962
6005,1068,631,3156
6006,1068,2302,2059
6007,1068,2442,3156
6008,1069,1005,1334
6009,1069,1085,3691
6010,1069,1085,394
6011,1069,1108,685
6012,1069,1354,3146
6013,1069,1561,3574
6014,1069,1644,1298
6015,1069,1843,192
6016,1069,1897,2462
6017,1069,2006,3310
6018,1069,2196,1300
6019,1070,2035,939
6020,1070,2422,617
6021,1071,323,3036
6022,1071,440,1116
6023,1071,463,2248
6024,1071,647,2235
6025,1071,2036,2664
6026,1072,1296,2955
6027,1072,1908,453
6028,1073,1576,2761
6029,1073,2465,1548
6030,1074,235,3172
6031,1074,740,1672
6032,1074,838,644
6033,1074,898,3147
6034,1074,963,1385
6035,1074,963,1104
6036,1074,963,1432
6037,1074,963,2913
6038,1074,1576,2920
6039,1074,1578,2387
6040,1074,1666,3156
6041,1074,1952,21
6042,1074,2039,3438
6043,1075,365,1057
6044,1075,2197,1537
6045,1076,373,3378
6046,1076,2299,1811
6047,1077,249,965
6048,1077,398,2573
6049,1077,763,3435
6050,1077,1178,3254
6051,1077,1714,330
6052,1078,496,1395
6053,1078,614,1382
6054,1078,704,1058
6055,1078,1666,2966
6056,1078,2475,3154
6057,1079,793,1058
6058,1079,1250,182
6059,1080,1041,1995
6060,1080,1524,3230
6061,1081,1581,512
6062,1081,1890,1246
6063,1081,2025,3474
6064,1081,2098,3156
6065,1081,2548,2837
6066,1082,687,2002
6067,1082,1399,2276
6068,1082,1642,718
6069,1082,1723,565
6070,1083,40,192
6071,1083,49,2843
6072,1083,339,3378
6073,1083,429,991
6074,1083,511,3043
6075,1083,697,1996
6076,1083,765,718
6077,1083,765,947
6078,1083,765,1063
6079,1083,765,2657
6080,1083,766,3358
6081,1083,770,3156
6082,1083,981,2300
6083,1083,996,3415
6084,1083,1203,2210
6085,1083,1398,1790
6086,1083,1486,1194
6087,1083,1679,740
6088,1083,1699,1138
6089,1083,1837,582
6090,1083,1946,2985
6091,1083,2354,2014
6092,1083,2591,3720
6093,1084,2102,1688
6094,1084,2258,588
6095,1085,308,3156
6096,1085,355,950
6097,1085,367,3719
6098,1085,682,2513
6099,1085,693,1370
6100,1085,932,3675
6101,1086,32,1197
6102,1086,2489,1093
6103,1086,2534,3097
6104,1087,765,728
6105,1087,1055,2815
6106,1088,770,694
6107,1088,1961,1118
6108,1088,2171,1815
6109,1089,603,2947
6110,1089,1202,2318
6111,1089,2139,2632
6112,1089,2341,2437
6113,1090,567,2707
6114,1090,697,639
6115,1090,697,2912
6116,1090,697,3537
6117,1090,765,192
6118,1090,765,812
6119,1090,765,1222
6120,1090,770,192
6121,1090,770,971
6122,1090,770,1179
6123,1090,770,1228
6124,1090,839,815
6125,1090,901,3169
6126,1090,999,751
6127,1090,1014,1848
6128,1090,1014,3294
6129,1090,1723,3147
6130,1090,1882,2646
6131,1090,2147,3462
6132,1090,2169,1987
6133,1091,765,1178
6134,1091,2404,898
6135,1092,438,3595
6136,1092,1747,1587
6137,1092,2171,596
6138,1092,2386,2081
6139,1093,567,2107
6140,1093,583,2052
6141,1093,697,726
6142,1093,765,3159
6143,1093,768,3525
6144,1093,770,1194
6145,1093,770,2655
6146,1093,905,1208
6147,1093,1365,2619
6148,1093,1593,2920
6149,1093,1733,821
6150,1093,1882,2533
6151,1093,1999,327
6152,1093,2147,753
6153,1093,2147,2828
6154,1093,2194,40
6155,1094,770,1178
6156,1094,1069,102
6157,1095,771,1332
6158,1095,1956,718
6159,1096,590,1543
6160,1096,1837,596
6161,1097,765,812
6162,1097,1134,1305
6163,1097,1956,1264
6164,1098,691,1163
6165,1098,1955,3523
6166,1098,1956,687
6167,1098,1956,1111
6168,1098,1956,2787
6169,1099,430,3292
6170,1099,902,3470
6171,1099,1529,437
6172,1099,1802,1097
6173,1099,2008,2923
6174,1100,568,2397
6175,1100,823,2027
6176,1101,359,1209
6177,1101,661,3688
6178,1101,1047,1342
6179,1101,2148,2111
6180,1101,2221,2573
6181,1102,271,3273
6182,1102,1236,2973
6183,1102,1482,2430
6184,1102,1884,619
6185,1103,231,3684
6186,1103,1801,243
6187,1103,2177,3554
6188,1104,1601,2729
6189,1104,2307,3633
6190,1105,1435,1660
6191,1105,2022,817
6192,1105,2583,3372
6193,1106,1410,2905
6194,1106,2583,3248
6195,1107,812,1518
6196,1107,845,445
6197,1107,1186,466
6198,1107,1528,951
6199,1107,2583,3334
6200,1108,1679,2211
6201,1108,2589,3361
6202,1109,692,1598
6203,1109,1013,1023
6204,1109,1580,3263
6205,1109,2035,1473
6206,1110,452,3343
6207,1110,2221,546
6208,1111,781,3525
6209,1111,830,3142
6210,1111,2367,678
6211,1111,2415,2070
6212,1112,826,3525
6213,1112,918,1198
6214,1112,1436,1554
6215,1113,28,2356
6216,1113,741,2676
6217,1113,1961,3156
6218,1113,2583,256
6219,1114,484,224
6220,1114,968,3290
6221,1114,1882,2051
6222,1114,1901,1218
6223,1114,2154,313
6224,1114,2207,774
6225,1115,105,738
6226,1115,159,15
6227,1115,317,1134
6228,1115,383,1686
6229,1115,1036,1309
6230,1115,1700,2075
6231,1115,1751,2837
6232,1115,1751,3364
6233,1115,1959,175
6234,1116,781,2999
6235,1116,827,1050
6236,1116,2313,1823
6237,1117,116,1581
6238,1117,169,690
6239,1117,267,1556
6240,1117,313,3590
6241,1117,323,1076
6242,1117,600,2619
6243,1117,1243,1537
6244,1117,1257,269
6245,1117,2256,347
6246,1117,2257,3668
6247,1117,2265,983
6248,1117,2316,78
6249,1117,2323,2941
6250,1117,2375,1898
6251,1117,2571,1623
6252,1118,1189,1717
6253,1118,2321,2177
6254,1119,956,596
6255,1119,1052,3180
6256,1119,1569,2183
6257,1119,2412,2110
6258,1120,776,83
6259,1120,1985,3245
6260,1121,898,3466
6261,1121,948,2772
6262,1121,1545,2591
6263,1122,2,3154
6264,1122,1520,3029
6265,1123,83,2607
6266,1123,171,1503
6267,1123,188,1193
6268,1123,331,2592
6269,1123,454,3358
6270,1123,516,3054
6271,1123,522,2172
6272,1123,525,2540
6273,1123,529,3156
6274,1123,852,2237
6275,1123,894,1214
6276,1123,898,165
6277,1123,898,780
6278,1123,898,901
6279,1123,898,939
6280,1123,898,1035
6281,1123,898,1107
6282,1123,898,3156
6283,1123,898,3361
6284,1123,898,3466
6285,1123,898,3469
6286,1123,917,1205
6287,1123,917,1209
6288,1123,981,1463
6289,1123,1040,3358
6290,1123,1089,165
6291,1123,1109,1973
6292,1123,1194,2670
6293,1123,1297,1404
6294,1123,1356,3118
6295,1123,1366,3691
6296,1123,1394,1662
6297,1123,1398,1796
6298,1123,1401,1273
6299,1123,1498,822
6300,1123,1576,192
6301,1123,1576,2051
6302,1123,1690,1564
6303,1123,1781,2678
6304,1123,1797,3695
6305,1123,1888,1215
6306,1123,1889,1922
6307,1123,1954,2524
6308,1123,1973,2581
6309,1123,2221,822
6310,1123,2234,1800
6311,1123,2457,2824
6312,1123,2552,1873
6313,1123,2601,2202
6314,1124,529,1589
6315,1124,834,832
6316,1125,253,2295
6317,1125,1239,2440
6318,1125,2512,3554
6319,1125,2533,171
6320,1126,118,3295
6321,1126,228,3354
6322,1126,672,1703
6323,1126,898,1160
6324,1126,898,2685
6325,1126,1613,3621
6326,1126,2601,3672
6327,1127,898,1665
6328,1127,1244,773
6329,1128,662,1917
6330,1128,1541,452
6331,1128,1552,1341
6332,1129,369,2106
6333,1129,493,430
6334,1129,599,3249
6335,1129,898,1058
6336,1129,1476,1530
6337,1129,1576,2915
6338,1129,1666,3023
6339,1129,1828,2046
6340,1129,1831,400
6341,1129,1914,2126
6342,1129,1946,2861
6343,1129,1959,358
6344,1129,2197,1221
6345,1129,2370,3534
6346,1129,2481,710
6347,1129,2500,2097
6348,1129,2553,3354
6349,1129,2601,3691
6350,1130,328,400
6351,1130,872,834
6352,1130,1262,3387
6353,1130,2336,3656
6354,1131,139,1035
6355,1131,272,1888
6356,1131,374,3127
6357,1131,399,2239
6358,1131,525,2328
6359,1131,754,2355
6360,1131,898,1178
6361,1131,898,2913
6362,1131,917,661
6363,1131,1040,3358
6364,1131,1085,2497
6365,1131,1089,1035
6366,1131,1540,1058
6367,1131,1666,3019
6368,1131,1719,230
6369,1131,2105,2736
6370,1131,2563,3293
6371,1131,2601,3704
6372,1132,1740,2573
6373,1133,135,2295
6374,1133,930,3495
6375,1133,1250,2242
6376,1133,2255,3576
6377,1133,2303,2842
6378,1133,2321,569
6379,1133,2348,3527
6380,1134,138,1674
6381,1134,175,388
6382,1134,408,125
6383,1134,446,1401
6384,1134,581,2290
6385,1134,631,2657
6386,1134,1109,2915
6387,1134,2256,1474
6388,1134,2262,2330
6389,1134,2262,184
6390,1134,2585,3000
6391,1135,1276,3692
6392,1135,2388,2398
6393,1136,467,901
6394,1136,1774,2577
6395,1136,1784,1802
6396,1136,1882,155
6397,1137,561,2784
6398,1137,955,3252
6399,1137,1557,2157
6400,1138,672,1780
6401,1138,1179,2857
6402,1138,1382,3428
6403,1138,1669,559
6404,1138,1676,3261
6405,1139,138,1065
6406,1139,722,1614
6407,1139,1153,3604
6408,1139,1330,1715
6409,1139,1888,3307
6410,1140,28,230
6411,1140,138,3069
6412,1140,343,714
6413,1140,428,2719
6414,1140,560,1968
6415,1140,690,1642
6416,1140,692,987
6417,1140,692,2228
6418,1140,782,2100
6419,1140,953,2762
6420,1140,1109,1935
6421,1140,1109,2163
6422,1140,1109,2330
6423,1140,1109,3537
6424,1140,1157,2816
6425,1140,1255,3678
6426,1140,1257,350
6427,1140,1376,1771
6428,1140,1463,2485
6429,1140,1463,3147
6430,1140,1655,551
6431,1140,1693,3672
6432,1140,1718,1524
