LY,ND,TM,DYZZ,TXZZ,QBZZ,CBS,NFJM,FBSJ
植保学会科技奖,2020,二化螟雄蛾交配行为与精巢大小的关系,冯波,杜永均,郭前爽；姚晓明；李迪；程建军；陈庆华,昆虫学报,2019年62卷7期849-856页,
植保学会科技奖,2020,日龄和交配状态对二化螟雄蛾内生殖器特征的影响,郭前爽,杜永均,王春荣；宋显东；冯波；陈庆华,昆虫学报,2019年62卷07期838-848页,
植保学会科技奖,2020,稻纵卷叶螟成虫的卵巢发育与性诱剂诱捕,冯波,杜永均,郭前爽；朱凤；王笑；刘万才；姜玉英；钟玲,昆虫学报,2017年60卷02期211-221页,
植保学会科技奖,2020,稻纵卷叶螟性信息素在其种群监测上的应用,姚士桐,杜永均,吴降星；郑永利；金周浩；陆志杰；胡加君,昆虫学报,2011年54卷04期490-494页,
植保学会科技奖,2020,2019版食品中农药最大残留限量标准解析,李富根,季颖,朴秀英；廖先骏；郑尊涛；罗媛媛,农药科学与管理,2019年,
植保学会科技奖,2020,农药残留国家标准体系建设新进展,李富根,季颖,朴秀英；廖先骏,农药科学与管理,2019年,
植保学会科技奖,2020,Development of S-Fluxametamide for Bioactivity Improvement and Risk Reduction: Systemic Evaluation of the Novel Insecticide Fluxametamide at the Enantiomeric Level,李如男,董丰收；郑永权,潘兴鲁；王芹芹；陶燕；陈增龙；姜朵朵；吴迟；徐军；刘新刚；吴小虎,Environmental Science & Technology,2019年,
植保学会科技奖,2020,"Supercritical fluid chromatography-tandem mass spectrometry-assisted methodology for rapid enantiomeric analysis of fenbuconazole and its chiral metabolites in fruits, vegetables, cereals, and soil",陶燕,董丰收；郑永权,郑尊涛；于洋；徐军；刘新刚；吴小虎,Food Chemistry,2018年,
植保学会科技奖,2020,"Green and sensitive supercritical fluid chromatographic–tandem mass spectrometric method for the separation and determination of flutriafol enantiomers in vegetables, fruits, and soil",陶燕,董丰收；郑永权,徐军；刘新刚；程有普；刘娜；陈增龙,Journal of Agricultural and Food Chemistry,2014年,
植保学会科技奖,2020,"Effective Monitoring of Fluxapyroxad and Its Three Biologically Active Metabolites in Vegetables, Fruits, and Cereals by Optimized QuEChERS Treatment Based on UPLC-MS/MS",陈茜茜,董丰收,徐军；刘新刚；吴小虎；郑永权,Journal of Agricultural and Food Chemistry,2016年,
植保学会科技奖,2020,农药残留物手册,季颖,,李富根；刘丰茂；郑尊涛；简秋；龚勇；秦冬梅；朴秀英；穆兰；朱光艳；廖先骏,中国农业出版社,2018年,
